tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results	0	2	2	2	2	0	0
2	this is fucking bullshit	0	2	2	2	2	0	0
3	Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.	0	2	2	2	2	0	0
4	No offense but the corona virus disappearing before April actually sucks	0	2	2	2	2	0	0
5	This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.  I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 URL	1	0	1	0	1	0	0
6	Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice	1	0	0	0	0	0	0
7	After COVID-19 is over, I better NEVER hear anyone trash “low end” workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?	0	2	2	2	2	0	0
8	This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan.   He knew there was no PPE. He persisted anyways.  Today he lost his own battle with coronavirus but he gave life and hope to so many more.   KNOW HIS NAME 😭❤ URL	1	0	1	0	0	0	0
9	fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost	1	1	1	1	0	1	1
10	When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020	0	2	2	2	2	0	0
11	So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.	0	2	2	2	2	0	1
12	So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong.   I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...	1	0	1	0	1	0	1
13	My mum has a PhD on Corona Virus from WhatsApp University	1	1	0	0	0	0	0
14	He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go	1	2	1	1	1	1	1
15	future grandson: “hey grandpa want a corona?”  me: URL	0	2	2	2	2	0	0
16	Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - URL	1	0	1	0	1	0	1
17	tw suicide, COVID-19  Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.  There's a mental health epidemic happening, and we're gonna start seeing-	1	0	1	0	0	0	1
18	Celebrities keep trying to sing the virus away like this is a Disney movie or something	0	2	2	2	2	0	0
19	maybe if i develop feelings for covid-19 it will leave	0	2	2	2	2	0	0
20	THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 URL	1	0	1	0	1	0	1
21	My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.	0	2	2	2	2	0	0
22	I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times.   Still caught corona from him.   Do not fuck around with this thing.	1	0	1	0	0	0	0
23	I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system	0	2	2	2	2	0	0
24	Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐	0	2	2	2	2	0	1
25	When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol	0	2	2	2	2	0	0
26	Y’all miss your ex, I miss life without the corona virus	0	2	2	2	2	0	0
27	“I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.” This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. URL	0	2	2	2	2	0	1
28	Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.	1	0	1	0	1	0	1
29	Day 5: We have rediscovered farming	0	2	2	2	2	0	0
30	This Corona virus will pass by mid April !! Speaking it into existence	1	1	1	0	0	0	0
31	Thank you everyone for your incredible messages of support and encouragement.♥️  Many of you asked what it was like in the ER right now. I want to share a bit with you. Please RT:  A Day in the Life of an ER Doc - A Brief Dispatch from the #COVID19 Frontline:	0	2	2	2	2	0	0
32	My fellow citizens,   THERE IS ABSOLUTELY NO NEED TO PANIC.  Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.  Together, we will fight COVID-19 and create a healthier India.   Jai Hind!	1	0	1	0	1	0	0
33	Dogs when they found out their owners can’t leave because of the corona virus URL	0	2	2	2	2	0	0
34	no.. one...  cleans like Gaston quarantines like Gaston no one stops spreading COVID-19 like Gaston	1	1	0	0	0	0	0
35	This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. URL	1	0	1	1	1	0	1
36	My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. “I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers.” #Covid19 #coronavirus URL	0	2	2	2	2	0	0
37	COVID-19  Finally, some sensible advice from a Nurse  “What I have seen a lot of are recommendations for how to try to avoid getting coronavirus in the first place -- good hand washing, personal hygiene and social distancing -- but what I have NOT seen a lot of is advice for...	0	2	2	2	2	0	0
38	Corona Virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.	1	1	0	0	0	0	0
39	day 6 of quarantine: my dad gave a talk to the cats about covid-19 😭😭😭😭😭😭😭😭 URL	0	2	2	2	2	0	0
40	This is Generation Z.   I want to name that because folks love calling everybody 40 and under Millennials.  Millennials are not at Spring Break.  Millennials are at home yelling at their Boomer parents who won’t sit still because they have “faith over fear”.	1	0	0	0	0	0	0
41	“hey guys happy self quarantine. The corona virus is a real thing.”  wow I had no idea! thanks Kylie! URL	0	2	2	2	2	0	0
42	The World Health Organization warns young people: “You are not invincible.”   COVID-19 could “put you in hospital for weeks, or even kill you. Even if you don’t get sick, the choices you make about where you go could be the difference between life and death for someone else.”	1	0	1	0	0	0	1
43	This man hospital bill bout to be so much.	1	0	0	0	0	0	0
44	Video of a hospital in Spain. Watch it. Watch it again with the volume up.  Now cancel that brunch.  Postpone that coffee meet-up.  Rain check that dinner with friends.  Sucks doesn’t it? But not as hard as this 👇 #COVIDー19 #coronavirus #StayAtHome   URL	0	2	2	2	2	1	1
45	When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up with this himself! I’m so impressed. #coronavirus #StayHomeStaySafe URL	0	2	2	2	2	0	0
46	Covid-19 might be big, but I just want to remind y’all that our God is BIGGER.✨	0	2	2	2	2	0	0
47	CDC just announced that corona can be spread via Instagram story challenges :-/	1	1	0	0	0	0	0
48	Katie Porter's sister, a doctor, is breaking down how staying in can save lives during the COVID-19 crisis URL	1	0	1	0	0	0	0
49	Anybody else just randomly yell “Corona Virus” in Cardi’s voice ?	0	2	2	2	2	0	0
50	These workers need protection, healthcare, and sick pay—regardless of citizenship status. Their services are ESSENTIAL and there needs to be more aggressive dialogue around this issue. WHAT WOULD LIFE LOOK LIKE WITHOUT THEM? I don’t want to know!	0	2	2	2	2	0	1
51	me: h-  my mom with her phd in corona virus after graduating from whatsapp threads: URL	0	2	2	2	2	0	0
52	Check out BTS’ message of hope to overcome #COVID19 by looking after each other! We invite Son Heung-min to continue the message!  URL  #StayConnected #StayStrong_ARMY #힘내세요_아미 #우리의응원을이어주세요 #BTSLoveMyself #ENDviolence	0	2	2	2	2	0	0
53	White People: COVID-19  Black Folks: the RONA   Gay People : Miss Rona   😭☠️	0	2	2	2	2	1	0
54	corona sis you leaving by may right? URL	0	2	2	2	2	0	0
55	wow...taken this morning....never seen Vegas this empty before tbh #coronavirus URL	0	2	2	2	2	0	0
56	There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (including me) complaining of what we now know as the symptoms for corona.	1	2	1	1	1	0	1
57	So, due to COVID-19 fucking everything up, i thought 'Why dont we have a Twitter prom?'   So, without further ado, i invite you all the My twitter prom! You can ask someone to go with you as a friend or as a partner. The prom will be held on the 25th of March.   Interact to join!	0	2	2	2	2	0	0
58	Batman bussing tables now. Times is hard.	0	2	2	2	2	0	0
59	From this                      to this URL	0	2	2	2	2	0	0
60	Today we lost 2 colleagues, A young adult cardiology fellow &amp; a medical oncologist due to COVID-19 .  We pause to pray for them, And yet this war is just starting, with no end in sight!  We ask for your prayers  We ask our politicians to help and aggresively act for support!	1	0	1	0	0	0	0
61	China has 24 times more people than Italy...	1	0	0	0	0	0	0
62	After this is all over, please remember in future job interviews to ask them what their company did to protect their employees with regards to the global COVID-19 situation. Can't be risking working for wayward companies.	0	2	2	2	2	0	0
63	my flintstones gummies from 15 years ago fighting corona   URL	1	1	0	0	0	0	0
64	Iceland tested its entire population. Read that again: ITS ENTIRE POPULATION.	1	2	1	0	1	0	0
65	But bitch y’all said— URL	0	2	2	2	2	0	0
66	Hi.   Yes, it originated in China, but the technical term is Covid-19   Your mom originated from the back of a Buick Skylark, but we call her Judith  Don’t be mean.	1	0	0	1	0	0	0
67	Dominican Republic found the cure for Covid-19 😭 URL	1	1	0	0	0	0	0
68	Y’all had the gummies? I was eating that pure ROCK we ain’t built the same	0	2	2	2	2	0	0
69	The epidemiologist who helped eradicate smallpox says Trump’s early handling of COVID-19 is “is the most irresponsible act of an elected official that I've ever witnessed in my lifetime.” URL	1	0	1	1	0	0	1
70	Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against COVID-19 in the coming weeks. URL	0	2	2	2	2	0	0
71	celebrities making singing videos as corona virus now tops over 230k cases worldwide  URL	1	0	1	0	0	0	0
72	Every Senator that did insider trading after that COVID-19 briefing should immediately resign.  Yes, that applies to both parties.	0	2	2	2	2	0	0
73	ICE pretended to be doctors. There are no fucking words. Please donate if you can	1	2	1	1	1	1	1
74	Bro idk what’s going on but I agree with them. Fuck mini coopers. Small ass cars always looking like a parking spot until you get closer.	0	2	2	2	2	0	0
75	Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at how an ER doctor who already fought on the front lines of one crisis makes it through a day in this one. A good reminder for us to help them out by staying home.	0	2	2	2	2	0	0
76	Dear Allah, please protect Gaza at all costs	0	2	2	2	2	0	0
77	president of Slovakia showing up in her corona drip, hand-tailored matching fabric surgical masks..... impeccable URL	1	0	0	0	0	0	0
78	This episode of Black Mirror is too fucking long	0	2	2	2	2	0	0
79	This is for CORONA  you big fat white nasty smelling fat bitch why you took me off the motherfuckin schedule with your trifflin dirty white racist ass you big fat bitch oompa loompa body ass bitch I'm coming up there and I'm gonna beat the fuck out of you bitch	0	2	2	2	2	0	0
80	Bro these the only 3 songs I’m hearing on my TL 😂 lord take this corona away now! URL	0	2	2	2	2	0	0
81	Not all heroes wear capes, sometimes they just wear blanket then netflix n chill for 2 weeks	0	2	2	2	2	0	0
82	its always the comfortable spots hits 3G 🥺	0	2	2	2	2	0	0
83	me to corona after finding out she infected harvey weinstein URL	0	2	2	2	2	0	0
84	Germany is conducting 160k Covid-19 tests a week. It has a total 35k ventilators, 10k ordered to be made by the govt. It has converted a new 1k bed hospital in Berlin.   It’s death rate is tiny bcos it’s mass testing allows quarantine and bcos it has fewer non reported cases.	1	0	1	0	1	0	1
85	People after the covid-19 quarantine  : URL	0	2	2	2	2	0	0
86	Breaking: A child under the age of 18 has died of coronavirus in Los Angeles, public health officials announce, in what is believed to be the first child death from the virus in the US.  “A devastating reminder that COVID-19 infects people of all ages,” LA health official says.	1	0	1	0	1	0	1
87	Addressing the nation on battling the COVID-19 menace. #IndiaFightsCorona URL	0	2	2	2	2	0	0
88	Y’all dirty mfs brought corona home from Miami &amp; now it’s increased by 88% in 48HRS ....	1	1	1	1	1	1	1
89	everyone coming out of corona as barista	0	2	2	2	2	0	0
90	.@realdonaldtrump just said: “if it were up to the doctors, they'd shut down the entire world.” Actually, if it were up to us, we'd save as many people as possible. We would follow the science &amp; evidence. We would never put politics ahead of the public's health #covid19	1	0	0	1	1	0	1
91	One of my coworkers died today from #COVID19. Not much older, great guy. We were just sitting together a couple weeks ago, talking about whatever. The next time I saw him, he was admitted to the ICU. And that was the last time I saw him.  My whole body feels numb. 💔	1	0	0	0	0	0	0
92	If you told me on New Years that within 3 months of 2020:                                -Kobe Bryant is dead -We’d be quarantined from COVID-19 -Schools and sports are shut down -Tom Brady is a Tampa Bay Buccaneer   I would’ve legitimately thought the world was ending.	1	0	0	0	0	0	0
93	ya Allah, You already gave them huge test much more than us around the globe. If this is for their own good,  provide them strength to go through it. 💌	0	2	2	2	2	0	0
94	One day, if he wants, and when all this is over, I would like to practice my freeckicks with him on goal! What do you think? 🙌	0	2	2	2	2	0	0
95	THREAD: There’s a strong and understandable desire to return to better times and a functioning economy. But it should not be lost on anyone that there's no such thing as a functioning economy and society so long as covid-19 continues to spread uncontrolled in our biggest cities.	0	2	2	2	2	0	0
96	Mitch abandoned bipartisan work on the COVID-19 bill, then tried to pass a no-strings attached corporate bailout that didn't sufficiently help health care workers, first responders, and working class families. Focus on the PEOPLE, USERID not Wall Street.	1	2	1	1	1	0	1
97	Trigger warning.  This man was too afraid he’d infect his family and thought he wouldn’t get proper treatment because they’re poor so he just took his own life. THE GOVERNMENT NEEDS TO ASSURE FILIPINOS THAT WHEN THEY GOT THE VIRUS, THEY CAN GO TO A HOSPITAL &amp; BE TREATED FOR FREE!	0	2	2	2	2	1	1
98	This is my mom. She’s my hero. She’s a 60 year old primary care physician testing patients for #COVID19. She is putting her health on the line to test patients, get them the care they need, and do what she can to prevent community spread and the overburdening of our hospitals. URL	1	0	0	0	0	0	0
99	Exactly one month ago Italy found its first case of #coronavirus. I’ll tell you what happened in only one month. I hope you can learn from our mistakes.	1	0	1	0	0	0	0
100	This is RITM Director Dr. Celia Carlos who was allegedly unjustly removed from her position because she refused to prioritize the processing of COVID-19 tests of asymptomatic politicians and other VIPs over patients with symptoms. RESPECT! #JusticeforDrCarlos #NOtoVIPTesting URL	1	0	1	1	1	0	1
101	To be clear, Sen Loeffler not only dumped stock, illegally using non-public information (allegedly), she used the proceeds to buys stock in a TELEWORKING SOFTWARE company, profiting off the #COVID19-induced collapse of the economy.	1	0	1	1	1	0	1
102	Texas, NY, &amp; Cali are the 3 largest states. Cuomo &amp; Newsom are aggressive, *knowing* what's to come.  In Texas, Greg Abbott is “fake coughing” to a reporter's questions, and Sen Cornyn is tweeting Corona beer pics  2 weeks from now my state will be a dystopian rodeo.  Book it.	1	0	1	1	1	1	1
103	I hear unfounded rumors about #NationalGuard troops supporting a nationwide quarantine. Let me be clear: There has been no such discussion. ... For news about the great work the Guard IS doing to support the #Covid_19  response, click the link. #COVID19  URL	1	0	1	0	1	0	0
104	FRIENDS. The stuff about nature healing and wildlife returning because of COVID-19 is fake. URL	1	1	1	0	1	0	0
105	⚠ Due to the large amount of speculation regarding #COVID19, this is a reminder to rely on OFFICIAL sources for accurate information.  Help control the spread of rumors by sharing this page:  URL URL	0	2	2	2	2	0	0
106	Be vigilant for misinformation, rumors, and factual errors. Go to trusted sources for information about #COVID19! URL	0	2	2	2	2	0	0
107	Reminder that two Republican senators were implicated this weekend in an insider trading scandal, selling millions in stock while telling voters COVID-19 was a hoax.   Neither Republican has resigned.	1	0	1	1	1	1	1
108	Fox News claims it never called COVID-19 a hoax. Let's check the receipts. URL	1	0	1	1	1	0	0
109	Remember when the Chairman of the Senate Intelligence Committee enriched himself through stock trades off of inside information about the danger of COVID-19 while his Party told people it was a hoax to get Trump?	1	0	1	1	1	1	1
110	Voice notes, broadcasts &amp; images are being shared on Whatsapp and other platforms with FAKE NEWS  These messages are developed with the intent to cause fear &amp; panic  Please disregard messages that are not signed by official sources URL #COVID19 URL	1	0	1	0	1	0	0
111	Gee, if COVID-19 isn’t a hoax after all, is it possible climate change isn’t either? Should we perhaps learn something from this crisis, believe scientists, and avoid getting caught flat-footed next time?	0	2	2	2	2	0	0
112	At 8:00 pm today local time in #Wuhan. See how few lights there are? One can fake the numbers, but can’t fake the fact that only a few apartments  are still lit up. Where have people gone? #CCPVirus #COVID19ON #coronavirus URL	0	2	2	2	2	1	1
113	This is unbelievable. It reportedly took Macron's threat to close the UK border for Boris Johnson to finally shutdown bars and restaurants. The Elysee refers to UK policy as 'benign neglect'. This failure of leadership is costing lives.	1	0	1	1	1	1	1
114	Things the GOP has done during the Covid-19 outbreak:   - Illegally traded stocks  - Called it a hoax - Blamed it on China  - Tried to bailout big business without conditions  What they haven’t done:   - Help workers  - Help small businesses - Produced enough tests or ventilators	1	0	1	1	1	0	1
115	BREAKING: USERID Chief Of Staff, Abba Kyari, Reportedly Sick, Suspected Of Contracting #Coronavirus | Sahara Reporters A top government source told SR on Monday that Kyari has been seriously “down” since returning from a trip abroad. READ MORE: URL URL	1	0	1	0	1	1	1
116	3/16: ron paul publishes article calling corona a hoax 3/22: ron paul's son tests positive for corona URL	1	2	1	1	1	0	0
117	Rumours are no less infectious than #coronavirus ! This looks like a meticulous list, but a fake one too! Please note that no such directions have been given by USERID . In case of any doubt, please #Dial100 or tweet to us! #TakingOnCorona URL	0	2	2	2	2	0	0
118	As we saw over the wkend, disinfo is being spread online about a supposed national lockdown and grounding flights. Be skeptical of rumors. Make sure you’re getting info from legitimate sources. The USERID is holding daily briefings and USERID is providing the latest.	1	0	1	0	0	0	1
119	.@realDonaldTrump, dear Lord—please step up and be a leader. While you have been yammering about hoaxes and fake news, the COVID-19 pandemic has hit all over America. USERID and others have filled this country’s leadership gap. Lead or get out of their way.	1	1	1	1	0	0	1
120	Sorry, there is no coming back from saying this was all a “hoax.”  I don't give a fuck about “change of tone,” “change of heart,” nothing.  You mutha fuckers took a serious situation and endangered ALL just to defend a bigot.  Fuck you.  Not sorry.  #coronavirus	0	2	2	2	2	1	1
121	Delhi Police has registered a case under section 509 of the Indian Penal Code against a man who allegedly spat on a woman belonging to Manipur and called her “Corona” in Vijay Nagar area of north Delhi last night. URL	1	0	0	0	0	0	0
122	Fake news peddler Dhruv Rathee had said:  “Corona virus won't spread outside China, we need not worry”  Has this guy ever spoke something sensible? URL	1	0	0	1	1	0	0
123	This photo circulating about a case of #COVID19 in Kano allegedly reported by USERID is FALSE  This image has been doctored to spread fear and panic  Details on confirmed cases can be found via URL  #FactsNotFear #COVID19Nigeria URL	1	2	1	1	1	1	1
124	Sen. Rand Paul, the guy who opposed the #coronavirus relief bill and paid sick leave, tested positive on March 22 and is ON PAID SICK LEAVE  His father, and former Congressman, Ron Paul, published an essay titled “The Coronavirus Hoax” on March 17. Hypocrisy infects from the root URL	1	0	2	1	1	0	0
125	Never Forget..  When India was fighting Corona, pigs like USERID were sharing Fake News to Create Panic for Congress Propaganda. There's no shortage of PPEs.   Assam Medical college students were testing PPEs as what can be used if shortage occurs. URL	1	2	1	1	1	1	1
126	FOX News put their viewers at risk by making them believe the COVID-19 pandemic was a hoax.   Those viewers then put the entire US population at risk, and many people have lost their lives.   FOX News should face a class action lawsuit to hold them responsible.   #FOXClassAction	0	2	2	2	2	0	1
127	This isn’t a conspiracy tweet but I really think COVID-19 has been here in America for awhile. Do you guys remember how sick everyone was during the holidays/early January? And how everyone was saying they had the “flu” and the flu shot “didn’t work”?	0	2	2	2	2	1	1
128	Fox News claims it never called COVID-19 a hoax. Let's check the receipts. URL	1	0	1	1	1	0	0
129	If U love humanity, then pl stop forwarding any fake msg abt #Hantavirus to avoid panic, when we already hv enough to fight wid #Coronavirus. Hanta Virus spreads only from an infected animal's urine,faeces or saliva.  Pl educate yourself &amp; RT for others to understand. #NoFakeNews URL	1	0	1	0	1	0	0
130	Outside of Chicago just now #coronavirus #forcedisolation  #militarytrain #notahoax URL	0	2	2	2	2	0	0
131	Coronavirus: AltNews founder, Shekhar Gupta and others spread unverified claims by a fake twitter account  URL	1	0	1	1	1	0	0
132	A message from the Ministry of Information “The General Public is hereby urged to disregard any voice note circulating on WhatsApp that a helicopter will spray ‘antivirus’ throughout the Nation by 11:00 pm. This news is fake and should be disregarded in its entirety.” RT #COVID19	1	0	1	0	0	0	0
133	USERID USERID USERID “WE ARE DESPERATE”: 10 Nurses &amp; Doctors Explain What It's Like To Fight #COVID19 Without Enough Face Masks.  How do I know this isn't #FakeNews? Because my kid is an ICU nurse in CA. They haven't had enough #N95masks from the very start.   #GetMePPE 1/  URL	0	2	2	2	2	0	1
134	- Create a Fake account - Tweet Fake news - Pidi journalists will RT &amp; Quote RT - Then the original pidi will Quote RT - Create panic - Say Sorry - Deactivate the account  URL	0	2	2	2	2	0	0
135	The Chinese Communist Party suppressed information about the #COVID19 outbreak from the world for political purposes. Rather than take accountability they are actively pushing a conspiracy theory propaganda campaign against the United States. 📽️: USERID / USERID URL	1	2	1	1	1	1	1
136	TOP #COVID19-FacePalm DOCTOR NOMINEES  1 Dr HT Ong.Cardiologist Penang. Lawan City Council Enforcer sebab nak exercise masa MCO 2 Dr Adham. Minum air panas untuk bunuh. Fake info. Pseudoscience False reassurance 3 Dr Osman. Refuse testing. Infect everyone around him  Ongoing list URL	0	2	2	2	2	0	0
137	[Tweeting again with detail in single tweet so no alarm]  JUST IN: 38-yr-old #Covid19 positive  man dies in Patna. Had serious kidney problems that let to renal failure shortly after returning from Qatar. Makes this 1st ‘virus-linked’ death of someone who isn’t a senior citizen.	1	2	1	0	1	0	0
138	Fearmongering #PharmaFauci - who  built his entire career on the BOGUS HIV-AID$ causality by pushing a #FakeScience of the immune system &amp; imperial control of servile academics, NOW thinks he’ll get away with this current scam upon a petrified #coronavirus American public.   NOT!	1	1	1	1	1	1	1
139	#FakeNews playbook. Put the word “FALSE” in big purple letters over the Q post showing clearly how the #Covid19 pandemic could not have been an accident, hoping that the public won't see how far outside of standard deviation all the ways it hurts Trump is. URL	0	2	2	2	2	1	1
140	“Nobody wants to go close to me.”  After Nigeria recorded its first positive #COVID19 case, a story went viral on social media. It claimed the patient's taxi driver was demanding a payment not to spread the disease. The story was fake, but the impact on Jude has been very real. URL	1	0	1	0	0	0	0
141	Shout out to USERID &amp; USERID This is what real leadership looks like. They are kicking ass &amp; doing so w/ empathy &amp; respect, taking care of our citizens while Trump is trying to make us believe he changed his mind about calling the #Coronavirus a hoax!	0	2	2	2	2	0	1
142	I was starting to think the Coronavirus fear-mongering was actually really something to worry about.  Then this move by Pelosi happened, and it all became clear again.  COVID-19 is a hoax.	1	1	1	1	1	1	1
143	Trump's timeline of handling the corona crisis:  One month ago: it's a hoax. Way overblown.   Two weeks ago: this is serious. We must take action to prevent its spread.   This week: ehhhh on second thought maybe a million or so Americans dying isn't *that* bad	1	2	1	1	1	1	1
144	Know the facts about #COVID19. Don’t share rumors &amp; unintentionally spread misinformation. Federal, state &amp; local governments are posting current and accurate information. For help in distinguishing rumor from fact, see USERID Coronavirus Rumor Control: URL URL	1	0	1	0	0	0	0
145	Patients with #COVID19 have reportedly had mild to severe respiratory illness. Symptoms include fever, cough, or shortness of breath. Learn more about COVID-19 symptoms: URL URL	1	0	1	0	0	0	0
146	Hungarian Justice Min. USERID sends bill to Parliament: - State of emergency til end of 2020 - Rule by decree - Parliament suspended - No snap elections/referendums - Spreading fake news and rumors punishable with up to 5 years in prison #COVID19  URL	1	2	1	0	1	0	1
147	#WATCH An airline staff appeals to all not to spread rumours and instead educate yourself &amp; others about #COVID19, after she gets harassed by people in her housing society for allegedly spreading #Coronavirus. URL	1	0	1	0	0	0	0
148	Shameful that a person of your repute spreads fake news/rumours in blind hate for India and its traditions. India as a mark of respect came out in balconies on call of PM USERID to applaud doctors, health as well as emergency workers. There was no other reason. Fact check?	1	2	1	1	0	0	0
149	Another 'fake news' being peddled in India is India is a country of vegetarians, so it is not going to be affected by #CoronaVirus like China. Vegetarianism &amp; #Corona has NO connection. + India's vegetarianism is a myth, 80% Indians are meat eaters!  URL	1	0	1	0	1	0	0
150	To-date, Uganda has NO confirmed case of #COVID19. There is an article alleging that “Uganda confirms 1st case of Coronavirus”-this is NOT true and absolutely FAKE. People, please stop spreading rumors. Our teams are working around the clock to protect you &amp; keep COVID out of 🇺🇬 URL	1	2	1	0	1	0	0
151	My fraud warning published this morning, please read and share - Frank Figliuzzi : Coronavirus scam alert: From fake Starbucks coupons to taxpayer fraud, cons are going viral ⁦@NBCNewsTHINK⁩ USERID #coronavirus  URL	1	2	1	0	0	0	1
152	An online website has falsely reported that the Government is likely to impose Financial Emergency in India to tackle the crisis  caused by #Covid19.   Please be advised that the story is malicious and fake and that there is no such plan. URL	1	0	1	0	1	0	0
